<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
25.08.20,000000,106.0000000,106.0000000,105.9000000,105.9000000,52
26.08.20,000000,105.7500000,107.9000000,105.3500000,107.8000000,412
27.08.20,000000,107.7500000,107.7500000,105.3500000,105.3500000,1161
28.08.20,000000,105.0500000,105.5000000,104.7500000,105.4500000,994
31.08.20,000000,106.1500000,106.1500000,103.9000000,103.9000000,652
01.09.20,000000,104.2000000,104.9500000,103.3500000,104.7000000,834
02.09.20,000000,105.9000000,106.9500000,105.5500000,106.5000000,835
03.09.20,000000,107.5000000,107.5500000,103.5500000,104.0500000,2481
04.09.20,000000,104.0000000,105.7500000,102.9000000,104.2500000,1457
07.09.20,000000,104.6000000,105.7500000,104.6000000,105.5500000,717
08.09.20,000000,104.4000000,104.4000000,103.0000000,103.7500000,575
